index,left,right,player_state,difficulty_of_choices,round,set
1,x3,+3,1,1,1-1,1
2,3,2,2,2,1-1,2
3,3,2,3,3,1-1,3
4,3,2,4,4,1-1,4
5,3,2,5,5,1-1,5
6,3,2,6,6,1-1,6
7,3,2,7,7,1-1,7
8,3,2,8,8,1-1,8
9,3,2,9,9,1-1,9
10,3,2,10,10,1-1,10
11,3,2,11,11,1-1,11
12,3,2,12,12,1-1,12
13,3,2,13,13,1-1,13
14,3,2,14,14,1-1,14
15,3,2,15,15,1-1,15
16,3,2,16,16,1-2,1
17,3,2,17,17,1-2,2
18,3,2,18,18,1-2,3
19,3,2,19,19,1-2,4
20,3,2,20,20,1-2,5
21,3,2,21,21,1-2,6
22,3,2,22,22,1-2,7
23,3,2,23,23,1-2,8
24,3,2,24,24,1-2,9
25,3,2,25,25,1-2,10
26,3,2,26,26,1-2,11
27,3,2,27,27,1-2,12
28,3,2,28,28,1-2,13
29,3,2,29,29,1-2,14
30,3,2,30,30,1-2,15
31,3,2,31,31,1-3,1
32,3,2,32,32,1-3,2
33,3,2,33,33,1-3,3
34,3,2,34,34,1-3,4
35,3,2,35,35,1-3,5
36,3,2,36,36,1-3,6
37,3,2,37,37,1-3,7
38,3,2,38,38,1-3,8
39,3,2,39,39,1-3,9
40,3,2,40,40,1-3,10
41,3,2,41,41,1-3,11
42,3,2,42,42,1-3,12
43,3,2,43,43,1-3,13
44,3,2,44,44,1-3,14
45,3,2,45,45,1-3,15
46,3,2,46,46,1-4,1
47,3,2,47,47,1-4,2
48,3,2,48,48,1-4,3
49,3,2,49,49,1-4,4
50,3,2,50,50,1-4,5
51,3,2,51,51,1-4,6
52,3,2,52,52,1-4,7
53,3,2,53,53,1-4,8
54,3,2,54,54,1-4,9
55,3,2,55,55,1-4,10
56,3,2,56,56,1-4,11
57,3,2,57,57,1-4,12
58,3,2,58,58,1-4,13
59,3,2,59,59,1-4,14
60,3,2,60,60,1-4,15
61,3,2,61,61,1-5,1
62,3,2,62,62,1-5,2
63,3,2,63,63,1-5,3
64,3,2,64,64,1-5,4
65,3,2,65,65,1-5,5
66,3,2,66,66,1-5,6
67,3,2,67,67,1-5,7
68,3,2,68,68,1-5,8
69,3,2,69,69,1-5,9
70,3,2,70,70,1-5,10
71,3,2,71,71,1-5,11
72,3,2,72,72,1-5,12
73,3,2,73,73,1-5,13
74,3,2,74,74,1-5,14
75,3,2,75,75,1-5,15
